001	
.	
Life	life
Is	be
to	
Be	be
Whole	whole
\n	
Once	once
a	
circle	circle
missed	miss
a	
wedge	wedge
.	
The	
circle	circle
wanted	want
to	
be	be
whole	whole
,	
so	
it	
went	go
around	
looking	look
for	
its	
missing	miss
piece	piece
.	
\n	
But	
because	
it	
was	be
incomplete	incomplete
and	
therefore	therefore
could	could
roll	roll
only	only
very	very
slowly	slowly
,	
it	
admired	admire
the	
flowers	flower
along	
the	
way	way
.	
\n	
It	
chatted	chat
with	
worms	worm
.	
It	
enjoyed	enjoy
the	
sunshine	sunshine
.	
It	
found	find
lots	lot
of	
different	different
pieces	piece
,	
but	
none	none
of	
them	
fit	fit
.	
\n	
So	
it	
left	leave
them	
all	
by	
the	
side	side
of	
the	
road	road
and	
kept	keep
on	
searching	search
.	
Then	then
one	
day	day
the	
circle	circle
found	find
a	
piece	piece
that	
fit	fit
perfectly	perfectly
.	
\n	
It	
was	be
so	so
happy	happy
.	
Now	now
it	
could	could
be	be
whole	whole
,	
with	
nothing	nothing
missing	miss
.	
It	
incorporated	incorporate
the	
missing	miss
piece	piece
into	
itself	
and	
began	begin
to	
roll	roll
.	
\n	
Now	now
that	
it	
was	be
a	
perfect	perfect
circle	circle
,	
it	
could	could
roll	roll
very	very
fast	fast
,	
too	too
fast	fast
to	
notice	notice
the	
flowers	flower
or	
to	
talk	talk
to	
the	
worms	worm
.	
\n	
When	when
it	
realized	realize
how	how
different	different
the	
world	world
seemed	seem
when	when
it	
rolled	roll
so	so
quickly	quickly
,	
\n	
it	
stopped	stop
,	
left	leave
its	
found	found
piece	piece
by	
the	
side	side
of	
the	
road	road
and	
rolled	roll
slowly	slowly
away	away
.	
\n	
The	
lesson	lesson
of	
the	
story	story
,	
I	
suggested	suggest
,	
was	be
that	
in	
some	
strange	strange
sense	sense
we	
are	be
more	more
whole	whole
when	when
we	
are	be
missing	miss
something	something
.	
\n	
The	
man	man
who	
has	have
everything	everything
is	be
in	
some	
ways	way
a	
poor	poor
man	man
.	
\n	
He	
will	will
never	never
know	know
what	
it	
feels	feel
like	
to	
yearn	yearn
,	
to	
hope	hope
,	
to	
nourish	nourish
his	
soul	soul
with	
the	
dream	dream
of	
something	something
better	well
.	
\n	
He	
will	will
never	never
know	know
the	
experience	experience
of	
having	have
someone	someone
who	
loves	love
him	
give	give
him	
something	something
he	
has	have
always	always
wanted	want
or	
never	never
had	have
.	
\n	
There	
is	be
a	
wholeness	wholeness
about	
the	
person	person
who	
has	have
come	come
to	
terms	term
with	
his	
limitations	limitation
,	
\n	
who	
has	have
been	be
brave	brave
enough	enough
to	
let	let
go	go
of	
his	
unrealistic	unrealistic
dreams	dream
and	
not	not
feel	feel
like	
a	
failure	failure
for	
doing	do
so	so
.	
\n	
There	
is	be
a	
wholeness	wholeness
about	
the	
man	man
or	
woman	woman
who	
has	have
learned	learn
\n	
that	
he	
or	
she	
is	be
strong	strong
enough	enough
to	
go	go
through	
a	
tragedy	tragedy
and	
survive	survive
,	
\n	
who	
can	can
lose	lose
someone	someone
and	
still	still
feel	feel
like	
a	
complete	complete
person	person
.	
\n	
Life	life
is	be
not	not
a	
trap	trap
set	set
for	
us	
by	
God	god
so	so
that	
he	
can	can
condemn	condemn
us	
for	
failing	fail
.	
\n	
Life	life
is	be
not	not
a	
spelling	spelling
bee	bee
,	
where	where
no	
matter	matter
how	how
many	many
words	word
you	
?	
?	
ve	
gotten	gotten
right	right
,	
\n	
you	
?	
?	
re	re
disqualified	disqualify
if	
you	
make	make
one	
mistake	mistake
.	
Life	life
is	be
more	more
like	
a	
baseball	baseball
season	season
,	
\n	
where	where
even	even
the	
best	best
team	team
loses	lose
one-third	
of	
its	
games	game
and	
even	even
the	
worst	bad
team	team
has	have
its	
days	day
of	
brilliance	brilliance
.	
\n	
Our	
goal	goal
is	be
to	
win	win
more	more
games	game
than	
we	
lose	lose
.	
\n	
When	when
we	
accept	accept
that	
imperfection	imperfection
is	be
part	part
of	
being	be
human	human
,	
\n	
and	
when	when
we	
can	can
continue	continue
rolling	roll
through	
life	life
and	
appreciate	appreciate
it	
,	
\n	
we	
will	will
have	have
achieved	achieve
a	
wholeness	wholeness
that	
others	
can	can
only	only
aspire	aspire
to	
.	
\n	
That	
,	
I	
believe	believe
,	
is	be
what	
God	god
asks	ask
of	
us	
-	
not	not
?	
?	
Be	be
perfect	perfect
?	
?	
,	
not	not
?	
?	
Don	
?	
?	
t	t
even	even
make	make
a	
mistake	mistake
?	
?	
,	
but	
?	
?	
Be	be
whole	whole
?	
?	
.	
\n	
If	
we	
are	be
brave	brave
enough	enough
to	
love	love
,	
strong	strong
enough	enough
to	
forgive	forgive
,	
generous	generous
enough	enough
to	
rejoice	rejoice
in	
another	
?	
?	
s	s
happiness	happiness
,	
\n	
and	
wise	wise
enough	enough
to	
know	know
there	
is	be
enough	enough
love	love
to	
go	go
around	
for	
us	
all	
,	
\n	
then	then
we	
can	can
achieve	achieve
a	
fulfillment	fulfillment
that	
no	
other	other
living	living
creature	creature
will	will
ever	ever
know	know
.	
\n	
